"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"1012-10","1","1012-10","Term. Jd. Britania - Jd. Monte Belo","3","509E2F","FFFFFF"
"1012-21","1","1012-21","Term. Jd. Britânia - Jd. Rosinha","3","509E2F","FFFFFF"
"1015-10","1","1015-10","Term. Jd. Britânia - Chác. Maria Trindade","3","509E2F","FFFFFF"
"1016-10","1","1016-10","Cem. Do Horto - Shop. Center Norte","3","002F6C","FFFFFF"
"1017-10","1","1017-10","Perus - Conexão Vl. Iório","3","509E2F","FFFFFF"
"1018-10","1","1018-10","Vl. Rosa - Metrô Santana","3","002F6C","FFFFFF"
"1019-10","1","1019-10","Sol Nascente - Term. Pirituba","3","509E2F","FFFFFF"
"1020-10","1","1020-10","Perus - Conexão Vl. Iório ","3","509E2F","FFFFFF"
"1021-10","1","1021-10","Cohab Brasilândia - Term. Pirituba","3","509E2F","FFFFFF"
"1023-10","1","1023-10","Vl. Pirituba - Cptm Pirituba","3","509E2F","FFFFFF"
"1024-10","1","1024-10","Jd. Carombé - Conexão Petrônio Portela","3","509E2F","FFFFFF"
"1025-10","1","1025-10","Jd. Carombé - Conexão Petrônio Portela","3","509E2F","FFFFFF"
"1026-10","1","1026-10","Vl. Iara - Conexão Petrônio Portela","3","509E2F","FFFFFF"
"1034-10","1","1034-10","Vl. Iara - Conexão Vl. Iório","3","509E2F","FFFFFF"
"1036-10","1","1036-10","Cohab Brasilândia - Conexão Vl. Iório","3","509E2F","FFFFFF"
"106A-10","1","106A-10","Metrô Santana - Itaim Bibi","3","002F6C","FFFFFF"
"107T-10","1","107T-10","Metrô Tucuruvi - Term. Pinheiros","3","002F6C","FFFFFF"
"1156-10","1","1156-10","Vl. Sabrina - Pça. Do Correio","3","002F6C","FFFFFF"
"1177-10","1","1177-10","Term. A. E. Carvalho - Luz","3","FFD100","000000"
"1177-31","1","1177-31","Term. A. E. Carvalho - Luz","3","FFD100","000000"
"1178-10","1","1178-10","São Miguel - Pça. Do Correio","3","FFD100","000000"
"1178-31","1","1178-31","São Miguel - Pça. Do Correio","3","FFD100","000000"
"1178-32","1","1178-32","Abel Tavares - Pça. Do Correio","3","FFD100","000000"
"1178-33","1","1178-33","Pça. Do Correio - São Miguel","3","FFD100","000000"
"1178-42","1","1178-42","Conj. Hab. Vl. Sílvia - Pça. Do Correio","3","FFD100","000000"
"118C-10","1","118C-10","Jd. Pery Alto - Term. Amaral Gurgel","3","002F6C","FFFFFF"
"118Y-10","1","118Y-10","Lauzane Paulista - Lapa","3","002F6C","FFFFFF"
"119C-10","1","119C-10","Pq. Edu Chaves - Term. Princ. Isabel","3","002F6C","FFFFFF"
"119L-10","1","119L-10","Vl. Sulina - Term. Lapa","3","509E2F","FFFFFF"
"1206-10","1","1206-10","Pq. Vl. Maria - Correio","3","002F6C","FFFFFF"
"121G-10","1","121G-10","Pq. Novo Mundo - Metrô Tucuruvi","3","002F6C","FFFFFF"
"128Y-10","1","128Y-10","Jd. Pery Alto - Lapa","3","002F6C","FFFFFF"
"129F-10","1","129F-10","Conexão Petrônio Portela - Metrô Barra Funda","3","509E2F","FFFFFF"
"129F-41","1","129F-41","Conexão Petrônio Portela - Pça. Do Correio","3","509E2F","FFFFFF"
"139A-10","1","139A-10","Vl. Iório - Lapa","3","509E2F","FFFFFF"
"148L-10","1","148L-10","Cohab Antártica - Lapa","3","002F6C","FFFFFF"
"148P-10","1","148P-10","Pedra Branca - Metrô Barra Funda","3","002F6C","FFFFFF"
"1701-10","1","1701-10","Jova Rural - Metrô Santana","3","002F6C","FFFFFF"
"1701-21","1","1701-21","Jova Rural - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1701-22","1","1701-22","Jova Rural - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1701-23","1","1701-23","Jova Rural - Metrô Santana","3","002F6C","FFFFFF"
"1702-10","1","1702-10","Jova Rural - Tietê","3","002F6C","FFFFFF"
"1703-10","1","1703-10","Jd. Fontális - Shop. Center Norte","3","002F6C","FFFFFF"
"1705-10","1","1705-10","Jd. São João - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1705-51","1","1705-51","Cem. Pq. Da Cantareira - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1709-10","1","1709-10","Jd. Joana D'arc - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1709-21","1","1709-21","Jd. Joamar - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1720-10","1","1720-10","Jd. Guancã - Cantareira","3","002F6C","FFFFFF"
"1720-21","1","1720-21","Vila Sabrina - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1721-10","1","1721-10","Vl. Sabrina - Metrô Carandiru","3","002F6C","FFFFFF"
"1722-10","1","1722-10","Jd. Marina - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1726-10","1","1726-10","Cem. Pq. Dos Pinheiros - Metrô Santana","3","002F6C","FFFFFF"
"172J-10","1","172J-10","Jd. Brasil - Tatuapé","3","002F6C","FFFFFF"
"172K-10","1","172K-10","Jd. Tremembé - Metrô Tatuapé","3","002F6C","FFFFFF"
"172N-10","1","172N-10","Shop. Center Norte - Metrô Belém","3","002F6C","FFFFFF"
"172P-10","1","172P-10","Vl. Zilda - Metrô Belém","3","002F6C","FFFFFF"
"172R-10","1","172R-10","Jaçanã - Metrô Belém","3","002F6C","FFFFFF"
"172U-10","1","172U-10","Cem. Pq. Dos Pinheiros - Mooca","3","002F6C","FFFFFF"
"172X-10","1","172X-10","Pq. Novo Mundo - Metrô Tatuapé","3","002F6C","FFFFFF"
"172Y-10","1","172Y-10","Vl. Constança - Metrô Belém","3","002F6C","FFFFFF"
"1730-10","1","1730-10","Center Norte - Metrô Santana","3","002F6C","FFFFFF"
"1732-10","1","1732-10","Vl. Sabrina - Term. Amaral Gurgel","3","002F6C","FFFFFF"
"1738-10","1","1738-10","Vl. Constança - Metrô Santana","3","002F6C","FFFFFF"
"1741-10","1","1741-10","Vl. Dionisia - Metrô Santana","3","002F6C","FFFFFF"
"1742-10","1","1742-10","Jd. Antártica - Metrô Santana","3","002F6C","FFFFFF"
"1743-10","1","1743-10","Jd. Pery Alto - Shop. D","3","002F6C","FFFFFF"
"1744-10","1","1744-10","Lauzane Paulista - Metrô Santana","3","002F6C","FFFFFF"
"1745-10","1","1745-10","Vl.nova Cachoeirinha - Shop. Center Norte","3","002F6C","FFFFFF"
"174M-10","1","174M-10","Vl. Sabrina - Museu Do Ipiranga","3","002F6C","FFFFFF"
"1756-10","1","1756-10","Pedra Branca - Metrô Santana","3","002F6C","FFFFFF"
"1757-10","1","1757-10","Conj. Dos Bancários - Metrô Santana ","3","002F6C","FFFFFF"
"1758-10","1","1758-10","Jd. Antártica - Metrô Santana","3","002F6C","FFFFFF"
"1759-10","1","1759-10","Jd. Pery - Metrô Santana","3","002F6C","FFFFFF"
"175P-10","1","175P-10","Metrô Santana - Ana Rosa","3","002F6C","FFFFFF"
"175T-10","1","175T-10","Metrô Santana - Metrô Jabaquara","3","002F6C","FFFFFF"
"1760-10","1","1760-10","Cohab Antártica - Shop. Center Norte","3","002F6C","FFFFFF"
"1764-10","1","1764-10","Jd. Corisco - Metrô Santana","3","002F6C","FFFFFF"
"1765-10","1","1765-10","Jd. Cabuçu - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1767-10","1","1767-10","Pq. Edu Chaves - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1771-10","1","1771-10","Jd. Fontális - Metrô Santana","3","002F6C","FFFFFF"
"1772-10","1","1772-10","Jd. Filhos Da Terra - Metrô Tucuruvi","3","002F6C","FFFFFF"
"1773-10","1","1773-10","Cem. Pq. Dos Pinheiros - Mandaqui","3","002F6C","FFFFFF"
